,iso6393,language,languageLabel,nativeSpeakers,totalSpeakers,ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Level,Countries,Family_ID,Language_ID_x,Closest_ISO369P3code,First_Year_Of_Documentation,Last_Year_Of_Documentation,Is_Isolate,Language_ID_y,classification,path,top_family_id,first_subfamily_id,top_family,top_family_level,first_subfamily,first_subfamily_level,mainScript
201,shy,http://www.wikidata.org/entity/Q33274,Shawiya,2300000,,tach1249,Chaouia of the Aures,Africa,35.1867,6.88901,tach1249,shy,language,DZ;TN,afro1255,,shy,,,False,tach1249,afro1255/berb1260/grea1296/zena1250,"['afro1255', 'berb1260', 'grea1296', 'zena1250']",afro1255,berb1260,Afro-Asiatic,family,Berber,family,Latn
202,kfy,http://www.wikidata.org/entity/Q33529,Kumaoni,2300000,,kuma1273,Kumaoni,Eurasia,29.5622,80.0171,kuma1273,kfy,language,IN;NP,indo1319,,kfy,,,False,kuma1273,indo1319/clas1257/indo1320/indo1321/midd1375/cont1248/midl1245/indo1310/cent1977,"['indo1319', 'clas1257', 'indo1320', 'indo1321', 'midd1375', 'cont1248', 'midl1245', 'indo1310', 'cent1977']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,Deva
203,iba,http://www.wikidata.org/entity/Q33424,Iban,2300000,,iban1264,Iban,Papunesia,2.09041,112.934,iban1264,iba,language,BN;ID;MY,aust1307,,iba,,,False,iban1264,aust1307/mala1545/mala1554/mala1538/iban1263/iban1269/iban1270/nort3387,"['aust1307', 'mala1545', 'mala1554', 'mala1538', 'iban1263', 'iban1269', 'iban1270', 'nort3387']",aust1307,mala1545,Austronesian,family,Malayo-Polynesian,family,Latn
204,haz,http://www.wikidata.org/entity/Q33398,Hazaragi,2221000,,haza1239,Hazaragi,Eurasia,33.3708,64.5105,haza1239,haz,language,AF;IR;PK;TJ,indo1319,,haz,,,False,haza1239,indo1319/clas1257/indo1320/iran1271/iran1269/sout3157/midd1352/mode1259/fars1254/fars1255/east2745,"['indo1319', 'clas1257', 'indo1320', 'iran1271', 'iran1269', 'sout3157', 'midd1352', 'mode1259', 'fars1254', 'fars1255', 'east2745']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,Arab
205,laj,http://www.wikidata.org/entity/Q35670,Lango,2100000,,lang1324,Lango (Uganda),Africa,2.13867,33.0553,lang1324,laj,language,UG,nilo1247,,laj,,,False,lang1324,nilo1247/west2493/lwoo1234/sout2831/lang1323,"['nilo1247', 'west2493', 'lwoo1234', 'sout2831', 'lang1323']",nilo1247,west2493,Nilotic,family,Western Nilotic,family,Latn
206,bci,http://www.wikidata.org/entity/Q35107,Baoulé,2100000,,baou1238,Baoulé,Africa,5.42509,-4.76565,baou1238,bci,language,CI,atla1278,,bci,,,False,baou1238,atla1278/volt1241/kwav1236/nyoa1234/poto1254/tano1248/cent2262/biaa1238/nort2767,"['atla1278', 'volt1241', 'kwav1236', 'nyoa1234', 'poto1254', 'tano1248', 'cent2262', 'biaa1238', 'nort2767']",atla1278,volt1241,Atlantic-Congo,family,Volta-Congo,family,Latn
207,ssw,http://www.wikidata.org/entity/Q34014,Swazi,2034200,,swat1243,Swati,Africa,-26.0,31.5,swat1243,ssw,language,LS;MZ;SZ;ZA,atla1278,,ssw,,,False,swat1243,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/sout3387/nucl1826/dims1234/ngun1280/ngun1276/nucl1827/ngun1267/swat1244,"['atla1278', 'volt1241', 'benu1247', 'bant1294', 'sout3152', 'narr1281', 'east2731', 'sout3387', 'nucl1826', 'dims1234', 'ngun1280', 'ngun1276', 'nucl1827', 'ngun1267', 'swat1244']",atla1278,volt1241,Atlantic-Congo,family,Volta-Congo,family,
208,tcy,http://www.wikidata.org/entity/Q34251,Tulu,2000000,,tulu1258,Tulu,Eurasia,12.8114,75.2651,tulu1258,tcy,language,IN,drav1251,,tcy,,,False,tulu1258,drav1251/sout3133/sout3138/tulu1261/tulu1263,"['drav1251', 'sout3133', 'sout3138', 'tulu1261', 'tulu1263']",drav1251,sout3133,Dravidian,family,South Dravidian,family,Knda
209,shk,http://www.wikidata.org/entity/Q36486,Shilluk,2000000,,shil1265,Shilluk,Africa,9.85472,31.7926,shil1265,shk,language,SD;SS,nilo1247,,shk,,,False,shil1265,nilo1247/west2493/lwoo1234/nort2814,"['nilo1247', 'west2493', 'lwoo1234', 'nort2814']",nilo1247,west2493,Nilotic,family,Western Nilotic,family,Latn
210,gmo,http://www.wikidata.org/entity/Q56323,Gamo-Gofa-Dawro,2000000,,gamo1244,Gamo-Gofa-Dawro,Africa,6.57645,37.1381,gamo1244,gmo,language,ET,book1242,,gmo,,,False,gamo1244,book1242,['book1242'],book1242,,Bookkeeping,family,,,
